date,state,epidemiological_week_2020,deaths_total_2019,deaths_total_2020,deaths_covid19,new_deaths_total_2020,deaths_indeterminate_2019,deaths_indeterminate_2020,deaths_others_2019,deaths_others_2020,deaths_pneumonia_2019,deaths_pneumonia_2020,deaths_respiratory_failure_2019,deaths_respiratory_failure_2020,deaths_sars_2019,deaths_sars_2020,deaths_septicemia_2019,deaths_septicemia_2020,new_deaths_covid19,new_deaths_indeterminate_2020,new_deaths_others_2020,new_deaths_pneumonia_2020,new_deaths_respiratory_failure_2020,new_deaths_sars_2020,new_deaths_septicemia_2020
2020-12-31,AC,53,3382,1518,,0,,,1904,,833,,,,,,396,,,,,,,,
2020-12-31,AL,53,14277,6492,,0,,,8450,,2370,,1396,,,,1944,,,,,,,,
2020-12-31,AM,53,12593,8210,,0,140,,7915,,2076,,614,,,,1815,,,,,,,,
2020-12-31,AP,53,2068,651,,0,,,1094,,387,,209,,,,,,,,,,,,
2020-12-31,BA,53,56380,20065,,0,,,35607,,6232,,6433,,,,7937,,,,,,,,
2020-12-31,CE,53,38005,19322,,0,,,23094,,7092,,2875,,,,4767,,,,,,,,
2020-12-31,DF,53,13942,5639,,0,138,,7052,,3256,,985,,,,2470,,,,,,,,
2020-12-31,ES,53,22914,9414,,0,,,12633,,5129,,1354,,,,3756,,,,,,,,
2020-12-31,GO,53,28538,10757,,0,166,,14896,,6515,,3163,,,,3759,,,,,,,,
2020-12-31,MA,53,16571,8245,,0,,,10954,,2185,,1656,,,,1641,,,,,,,,
2020-12-31,MG,53,114905,44340,,0,2145,,64480,,20252,,10444,,210,,17374,,,,,,,,
2020-12-31,MS,53,14755,5574,,0,,,7902,,3526,,1348,,,,1851,,,,,,,,
2020-12-31,MT,53,11887,4381,,0,30,,9419,,997,,683,,,,738,,,,,,,,
2020-12-31,PA,53,22155,9793,,0,,,12492,,4148,,2531,,,,2754,,,,,,,,
2020-12-31,PB,53,24876,9517,,0,162,,13969,,4623,,2433,,,,3665,,,,,,,,
2020-12-31,PE,53,58123,27097,,0,376,,31380,,8011,,4864,,,,13442,,,,,,,,
2020-12-31,PI,53,12551,3777,,0,,,6645,,2448,,1783,,,,1582,,,,,,,,
2020-12-31,PR,53,63245,24303,,0,384,,36636,,12006,,4946,,,,9150,,,,,,,,
2020-12-31,RJ,53,128985,59565,,0,465,,71885,,23861,,9364,,,,23309,,,,,,,,
2020-12-31,RN,53,14555,5346,,0,,,7861,,3216,,984,,,,2355,,,,,,,,
2020-12-31,RO,53,6893,2757,,0,,,4118,,1081,,676,,,,956,,,,,,,,
2020-12-31,RR,53,2130,934,,0,,,1202,,478,,,,,,,,,,,,,,
2020-12-31,RS,53,83175,29805,,0,618,,47464,,15687,,7146,,,,12173,,,,,,,,
2020-12-31,SC,53,38030,13897,,0,247,,21770,,7206,,3392,,,,5349,,,,,,,,
2020-12-31,SE,53,10827,3980,,0,,,6155,,1684,,878,,,,1998,,,,,,,,
2020-12-31,SP,53,302990,122357,,0,1582,,159556,,72788,,25556,,295,,43213,,,,,,,,
2020-12-31,TO,53,4962,1813,,0,,,3078,,872,,444,,,,508,,,,,,,,
2020-12-30,AC,53,3370,1518,,0,,,1899,,827,,210,,,,,,,,,,,,
2020-12-30,AL,53,14249,6492,,0,,,8428,,2369,,1393,,,,1942,,,,,,,,
2020-12-30,AM,53,12547,8210,,0,,,7887,,2066,,612,,,,1811,,,,,,,,
2020-12-30,AP,53,2061,651,,0,,,,,386,,,,,,,,,,,,,,
2020-12-30,BA,53,56236,20065,,0,,,35517,,6215,,6413,,,,7920,,,,,,,,
2020-12-30,CE,53,37903,19322,,0,,,23028,,7075,,2871,,,,4752,,,,,,,,
2020-12-30,DF,53,13908,5639,,0,137,,7035,,3248,,983,,,,2464,,,,,,,,
2020-12-30,ES,53,22854,9414,,0,,,12600,,5117,,1349,,,,3746,,,,,,,,
2020-12-30,GO,53,28451,10757,,0,,,14847,,6500,,3150,,,,3751,,,,,,,,
2020-12-30,MA,53,16538,8245,,0,129,,10932,,2182,,1651,,,,1638,,,,,,,,
2020-12-30,MG,53,114617,44340,,0,2139,,64316,,20209,,10416,,209,,17328,,,,,,,,
2020-12-30,MS,53,14725,5574,,0,,,7889,,3519,,1343,,,,1846,,,,,,,,
2020-12-30,MT,53,11862,4381,,0,,,9402,,992,,682,,,,,,,,,,,,
2020-12-30,PA,53,22097,9793,,0,192,,12464,,4134,,2524,,,,2745,,,,,,,,
2020-12-30,PB,53,24822,9517,,0,161,,13942,,4608,,2429,,,,3658,,,,,,,,
2020-12-30,PE,53,57965,27097,,0,375,,31286,,7990,,4852,,50,,13412,,,,,,,,
2020-12-30,PI,53,12530,3777,,0,,,6635,,2445,,1779,,,,1578,,,,,,,,
2020-12-30,PR,53,63089,24303,,0,,,36537,,11981,,4937,,123,,9128,,,,,,,,
2020-12-30,RJ,53,128648,59565,,0,462,,71698,,23802,,9339,,101,,23246,,,,,,,,
2020-12-30,RN,53,14505,5346,,0,,,7835,,3204,,981,,,,2346,,,,,,,,
